"AUD","","-","15,673","15,773","16,223",,,
"CAD","","-","17,602","17,702","18,252",,,
"CHF","","-","27,265","27,370","28,170",,,
"CNY","","-","-","3,341","3,451",,,
"DKK","","-","-","3,463","3,593",,,
"EUR","","-","#25,788","25,813","26,923",,,
"","","-","&25,783","-","-",,,
"GBP","","-","30,092","30,142","31,102",,,
"HKD","","-","3,033","3,048","3,183",,,
"JPY","","-","163.44","163.44","171.39",,,
"KRW","","-","16.68","17.48","20.28",,,
"LAK","","-","-","0.87","1.23",,,
"NOK","","-","-","2,175","2,255",,,
"NZD","","-","14,633","14,683","15,200",,,
"SEK","","-","-","2,277","2,387",,,
"SGD","","-","17,636","17,736","18,336",,,
"THB","","-","627.24","671.58","695.24",,,
"USD","","23,954","#24,018","24,098","24,438",,,
"","","\","&23,168","-","-",,,
