"USD","24050.00","24080.00","24420.00"
"EUR","25768.57","26028.86","27183.52"
"GBP","29894.00","30195.96","31167.00"
"JPY","166.41","168.09","176.15"
"AUD","15830.68","15990.59","16504.81"
"SGD","17766.65","17946.11","18523.23"
"THB","611.17","679.07","705.13"
"CAD","17556.80","17734.14","18304.43"
"CHF","27173.97","27448.45","28331.14"
"HKD","3027.06","3057.64","3155.97"
"CNY","3328.83","3362.45","3471.11"
"DKK","0.00","3482.10","3615.72"
"INR","0.00","290.17","301.80"
"KRW","16.19","17.99","19.62"
"KWD","0.00","78665.05","81816.07"
"MYR","0.00","5137.07","5249.50"
"NOK","0.00","2241.32","2336.66"
"RUB","0.00","257.56","285.14"
"SAR","0.00","6447.06","6705.31"
"SEK","0.00","2311.51","2409.83"
